city,month,month_name,average_temperature,average_high_temperature,average_low_temperature,average_daily_precipitation,average_max_wind_speed,rainy_days,comfortable_days,excellent_weather_days,average_tourism_score,total_observed_days,rainy_day_percentage,comfortable_day_percentage,excellent_weather_percentage
Cabo San Lucas,1,January,20.21720430107527,25.182795698924732,15.411827956989248,0.008602150537634409,17.540860215053762,0,88,87,2.924731182795699,93,0.0,94.6236559139785,93.54838709677419
Cabo San Lucas,2,February,20.834117647058825,26.043529411764705,15.910588235294119,0.027058823529411764,17.556470588235292,1,81,79,2.929411764705882,85,1.1764705882352942,95.29411764705881,92.94117647058823
Cabo San Lucas,3,March,21.976344086021506,27.24838709677419,16.99247311827957,0.004301075268817204,19.682795698924732,0,81,78,2.838709677419355,93,0.0,87.09677419354838,83.87096774193549
Cabo San Lucas,4,April,23.684444444444445,28.892222222222223,18.59,0.0022222222222222222,22.052222222222223,0,59,53,2.577777777777778,90,0.0,65.55555555555556,58.88888888888889
Cabo San Lucas,5,May,25.940860215053764,30.903225806451612,21.048387096774192,0.035483870967741936,22.612903225806452,1,37,28,2.2795698924731185,93,1.0752688172043012,39.784946236559136,30.107526881720432
Cabo San Lucas,6,June,26.954444444444444,31.238888888888887,22.932222222222222,0.11333333333333334,23.092222222222226,3,26,24,2.1555555555555554,90,3.3333333333333335,28.888888888888886,26.666666666666668
Cabo San Lucas,7,July,29.532258064516128,33.45913978494623,26.010752688172044,0.7032258064516129,21.559139784946236,10,3,2,1.978494623655914,93,10.75268817204301,3.225806451612903,2.1505376344086025
Cabo San Lucas,8,August,29.629032258064516,33.22903225806452,26.53978494623656,2.296774193548387,20.04731182795699,23,10,5,1.967741935483871,93,24.731182795698924,10.75268817204301,5.376344086021505
Cabo San Lucas,9,September,28.89888888888889,32.596666666666664,25.724444444444444,2.2666666666666666,19.974444444444444,21,13,5,2.0,90,23.333333333333332,14.444444444444443,5.555555555555555
Cabo San Lucas,10,October,27.222580645161287,31.418279569892473,23.731182795698924,2.4612903225806453,19.897849462365592,15,25,19,2.118279569892473,93,16.129032258064516,26.881720430107524,20.43010752688172
Cabo San Lucas,11,November,24.643333333333334,29.66333333333333,20.363333333333333,0.12555555555555556,15.69888888888889,2,54,51,2.566666666666667,90,2.2222222222222223,60.0,56.666666666666664
Cabo San Lucas,12,December,22.725806451612904,27.811827956989248,18.39677419354839,0.567741935483871,13.156989247311827,5,82,81,2.860215053763441,93,5.376344086021505,88.17204301075269,87.09677419354838
Cancun,1,January,24.3247311827957,27.1,22.204301075268816,2.456989247311828,19.159139784946237,45,92,81,2.849462365591398,93,48.38709677419355,98.9247311827957,87.09677419354838
Cancun,2,February,24.369411764705884,27.48,21.903529411764705,1.4588235294117646,18.73764705882353,26,84,75,2.8823529411764706,85,30.58823529411765,98.82352941176471,88.23529411764706
