city,year,month,month_name,average_temperature,average_high_temperature,average_low_temperature,average_temperature_range,total_precipitation,rainy_days,heavy_rain_days,hot_days,comfortable_days,average_max_wind_speed,average_tourism_score,number_of_days,rainy_day_percentage,hot_day_percentage,comfortable_day_percentage
Cancun,2024,12,December,24.251612903225805,27.135483870967743,22.103225806451615,5.032258064516129,101.4,14,1,0,31,17.17096774193548,2.806451612903226,31,45.16129032258064,0.0,100.0
Cancun,2025,1,January,23.81935483870968,26.75483870967742,21.74516129032258,5.009677419354839,93.19999999999999,13,1,0,30,18.503225806451614,2.806451612903226,31,41.935483870967744,0.0,96.7741935483871
Cancun,2025,2,February,25.032142857142855,28.042857142857144,22.946428571428573,5.096428571428571,44.9,9,0,0,28,17.232142857142858,2.9285714285714284,28,32.142857142857146,0.0,100.0
Cancun,2025,3,March,25.725806451612904,29.164516129032258,23.096774193548388,6.0677419354838715,24.4,8,0,0,23,20.029032258064515,2.6774193548387095,31,25.806451612903224,0.0,74.19354838709677
Cancun,2025,4,April,25.92,29.176666666666666,23.256666666666668,5.920000000000001,29.4,5,0,0,25,20.436666666666667,2.7333333333333334,30,16.666666666666664,0.0,83.33333333333334
Cancun,2025,5,May,27.948387096774194,31.212903225806453,25.483870967741936,5.729032258064516,49.0,8,0,3,2,18.43548387096774,1.967741935483871,31,25.806451612903224,9.67741935483871,6.451612903225806
Cancun,2025,6,June,27.87,30.87,25.55,5.320000000000001,180.7,23,3,2,2,18.756666666666668,1.7333333333333334,30,76.66666666666667,6.666666666666667,6.666666666666667
Cancun,2025,7,July,28.08709677419355,31.53870967741935,25.322580645161292,6.216129032258064,130.6,20,0,9,1,14.138709677419355,1.7741935483870968,31,64.51612903225806,29.03225806451613,3.225806451612903
Cancun,2025,8,August,28.345161290322583,32.167741935483875,25.35483870967742,6.812903225806452,93.1,26,0,23,0,13.658064516129032,1.8709677419354838,31,83.87096774193549,74.19354838709677,0.0
Cancun,2025,9,September,27.566666666666666,31.88,24.583333333333332,7.296666666666667,164.0,26,0,15,2,11.520000000000001,1.7,30,86.66666666666667,50.0,6.666666666666667
Cancun,2025,10,October,26.309677419354838,30.238709677419354,23.529032258064515,6.709677419354839,203.20000000000002,21,3,1,11,13.587096774193547,1.967741935483871,31,67.74193548387096,3.225806451612903,35.483870967741936
Cancun,2025,11,November,24.836666666666666,28.196666666666665,22.116666666666667,6.079999999999999,116.4,20,1,0,28,14.443333333333333,2.8,30,66.66666666666666,0.0,93.33333333333333
Cancun,2025,12,December,24.687096774193545,27.848387096774193,22.348387096774193,5.5,60.8,11,1,0,31,14.241935483870968,2.903225806451613,31,35.483870967741936,0.0,100.0
Mexico City,2023,1,January,14.390322580645162,23.070967741935487,6.729032258064516,16.34193548387097,0.6,0,0,0,21,18.07741935483871,2.6774193548387095,31,0.0,0.0,67.74193548387096
Mexico City,2023,2,February,16.103571428571428,25.342857142857145,7.946428571428571,17.396428571428572,0.8,0,0,0,27,20.946428571428573,2.9642857142857144,28,0.0,0.0,96.42857142857143
Mexico City,2023,3,March,18.148387096774194,26.76451612903226,10.193548387096774,16.570967741935487,23.0,4,0,0,29,22.496774193548386,2.806451612903226,31,12.903225806451612,0.0,93.54838709677419
Mexico City,2023,4,April,19.21333333333333,27.42,11.663333333333332,15.756666666666666,20.4,5,0,0,25,23.316666666666666,2.7,30,16.666666666666664,0.0,83.33333333333334
Mexico City,2023,5,May,18.66774193548387,26.34193548387097,11.861290322580645,14.480645161290322,73.0,15,0,0,31,20.80322580645161,2.7096774193548385,31,48.38709677419355,0.0,100.0
Mexico City,2023,6,June,21.726666666666667,30.103333333333335,14.07,16.033333333333335,36.8,12,0,10,13,23.59,2.3,30,40.0,33.33333333333333,43.333333333333336
